Region,Neighborhood,Patio Name,Google ID,Recommended,Special Classification,Bougie,More Bar Than Restaurant,Rooftop Patio,Small Patio,Covered Patio,Street Patio,View
North,Lake Union,IVAR’S FISH BAR,ChIJa0v1ovAUkFQRAihRnCfoxSk,No,,No,No,No,No,No,No,Yes
North,Maple Leaf,MOJITOS,ChIJi5Mg6GMUkFQRrk0pLKY_FLY,No,,No,No,No,Yes,No,Yes,No
North,Sand Point,SAINT HELEN'S CAFE,ChIJjSi1u4QUkFQRzyHIiMOWLgk,No,MIMOSAS BY THE BOTTLE,No,No,No,No,No,No,No
North,Wallingford,WESTWARD,ChIJpf3ouPsUkFQRNwzFg5lRpqA,No,,Yes,No,No,No,No,No,Yes
North ,Fremont,CAFE TURKO,ChIJx-hLLQEVkFQRLCuaoUU__C4,No,,No,No,No,No,No,No,No
South,Alki,MARINATION ALKI,ChIJsRF59nJAkFQRKis-uc-e_1k,No,,No,No,No,No,No,No,Yes
South,Beacon Hill,BAR DEL CORSO,ChIJY6QtxX1qkFQRvlFPJJT4OcQ,Yes,,Yes,No,No,No,No,No,No
South,Beacon Hill,PERIHELION,ChIJ3yfKEIdqkFQRdgzcpwqH6dw,No,Brewery,No,No,No,No,No,Yes,No
South,Columbia City,SUPER SIX,ChIJEVENnw5qkFQRzD5hUt_scBQ,No,,No,No,No,No,No,No,No
South,Georgetown,BRASS TACKS,ChIJ9SQn7utBkFQRRxtAgpX4zC8,No,,No,No,No,No,No,No,No
South,Georgetown,EL SIRENITO,ChIJ0WvMMupBkFQRJpJDIVJHRYY,No,,Yes,No,No,Yes,No,No,No
South,Georgetown,HANGAR CAFE,ChIJWRgaZOxBkFQRArhWsxJvll0,No,,No,No,No,No,No,No,No
South,Georgetown,THE BLU GROUSE,ChIJkXPcf79BkFQRXPs2AKy1JEc,No,,No,Yes,No,No,No,No,No
South,Rainier Beach,STONEHOUSE CAFE,ChIJJV7tinlCkFQR5uCe1wzZP0A,No,,No,No,No,No,No,No,No
South,Seward Park,RACONTEUR,ChIJyaIabxpqkFQRntuw8Z6sqp0,No,,No,No,No,No,No,No,No
South,Sodo,MONKEY LOFT,ChIJoSxM5y5AkFQRuQs-paRpNBY,No,,No,Yes,Yes,No,No,No,Yes
South,South Park,LORETTA’S NORTHWESTERNER,ChIJPcnUUy9CkFQRqAady2nwWgc,No,,No,No,No,No,Yes,No,No
South,Georgetown,CIUDAD,ChIJSX5ykutBkFQRLOIOUAMsMKw,Yes,,No,No,No,No,No,No,No
South,Beacon Hill,TRAVELERS THALI THAI HOUSE,ChIJJ7xKiYZqkFQR20wkqZq3Oec,No,,No,No,No,No,No,No,No
North,Portage Bay,AGUA VERDE Cafe & PADDLE CLUB,ChIJCdw7EO4UkFQRQdm_Iicj-nM,No,Drink and kayak!,No,No,Yes,No,Yes,No,Yes
Downtown,South Lake Union,MBAR,ChIJc_jpMDcVkFQR0lmokXEdXDI,No,,Yes,No,Yes,No,No,No,Yes
Downtown,Pike Place Market,THE PINK DOOR,ChIJ91YOzrJqkFQRKmSW0B1qrbo,No,,Yes,No,Yes,No,Yes,No,Yes
Downtown,Queen Anne,SWEDISH CLUB,ChIJb1B0bxcVkFQRV0Lj7RN1mWE,No,Must be accompanied by a member!! + More of a balcony,No,No,No,Yes,No,No,Yes
